flight_id,airline,flight_number,service_type,cabin_class,price_per_adult_usd,currency,departure_city,departure_airport,arrival_city,arrival_airport,departure_time_local,arrival_time_local,arrival_date_note,flight_duration_min,stops,layover_airports,aircraft,baggage_allowance,fare_rules_summary,availability_start_date,availability_end_date,frequency,seats_remaining,refundable,change_fee_usd,direction,departure_date,arrival_date,schedule_instance_id
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-01,2025-10-01,F0001-2025-10-01
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-02,2025-10-02,F0001-2025-10-02
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-03,2025-10-03,F0001-2025-10-03
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-04,2025-10-04,F0001-2025-10-04
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-05,2025-10-05,F0001-2025-10-05
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-06,2025-10-06,F0001-2025-10-06
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-07,2025-10-07,F0001-2025-10-07
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-08,2025-10-08,F0001-2025-10-08
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-09,2025-10-09,F0001-2025-10-09
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-10,2025-10-10,F0001-2025-10-10
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-11,2025-10-11,F0001-2025-10-11
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-12,2025-10-12,F0001-2025-10-12
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-13,2025-10-13,F0001-2025-10-13
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-14,2025-10-14,F0001-2025-10-14
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-15,2025-10-15,F0001-2025-10-15
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-16,2025-10-16,F0001-2025-10-16
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-17,2025-10-17,F0001-2025-10-17
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-18,2025-10-18,F0001-2025-10-18
F0001,Indonesia AirAsia,QZ 482,Low-Cost,Economy,60.0,USD,Jakarta,CGK,Singapore,SIN,06:30,09:20,SAME_DAY,110,0,,A320,7kg cabin only,Non-refundable; changes with fee,2025-10-01,2025-12-31,DAILY,10,False,50,OUTBOUND,2025-10-19,2025-10-19,F0001-2025-10-19
